CODE,NAME,ID,PROPERTY ADDRESS,CITY LIMIT
20,RETAIL,CLEARWATER GALLERY,303 W HOOD AVE,INSIDE
26,RETAIL,COMMON THREADS,161 E CASCADE AVE STE A,INSIDE
62,RES,ALPHASTAR DBA MCDONALDS,1001 RAILWAY,INSIDE
69,RES,ANGELINE'S BAKERY & CAFE,121 W. MAIN AVE.,INSIDE
81,RETAIL,BEACHAM'S CLOCK CO. INC.,300 W. HOOD AVE.,INSIDE
86,RETAIL,BEDOUIN,143 E HOOD AVE,INSIDE
95,LODG,BEST WESTERN PONDEROSA LODGE,500 W HWY 20,INSIDE
105,RES,"BRIGHT SPOT JUICE & JAVA, INC",130 N PINE ST,INSIDE
112,RETAIL,BUFFALO HORN GALLERY,167 W SISTERS PARK DR,INSIDE
118,RETAIL,CANYON CREEK POTTERY,310 N CEDAR ST,INSIDE
125,RETAIL,EAR EXPRESSIONS,221 W CASCADE AVE,INSIDE
134,RETAIL,EUROSPORTS,223 E HOOD AVE,INSIDE
141,RETAIL,FIRESIDE,424 NE THRID ST,OUTSIDE
145,RETAIL,FLY FISHERS PLACE,151 W MAIN AVE,INSIDE
155,RETAIL,"GALLIMAUFRY, LLC",111 W CASCADE AVE,INSIDE
157,RETAIL,GARDEN OF EDEN,200 W CASCADE AVE,INSIDE
176,RETAIL,THE HEN'S TOOTH,172 W HOOD AVE,INSIDE
191,RETAIL,HOYT'S HARDWARE & BUILDING SU,440 N PINE ST,INSIDE
200,RES,THE COTTONWOOD CAFE,403 E HOOD AVE,INSIDE
201,RETAIL,THE JEWEL,221 W CASCADE AVE,INSIDE
207,RETAIL,KALAMAZOO ANTIQUE MALL,211 W CASCADE AVE,INSIDE
221,RETAIL,LONESOME WATER BOOKS,221 W CASCADE AVE C,INSIDE
223,RETAIL,SISTERS ACE HARDWARE,373 E HOOD AVE,INSIDE
257,RETAIL,THE GOOD DAY CAFE,143 E HOOD AVE,INSIDE
276,RETAIL,"PAPER PLACE, THE",171 S. ELM ST.,INSIDE
307,RETAIL,RICHARD'S PRODUCE,411 W. CASCADE AVE.,INSIDE
339,RETAIL,BAXTER AUTO PARTS INC.,303 E. HOOD AVE.,INSIDE
352,RETAIL,SISTERS COFFEE CO.,273 W. HOOD AVE.,INSIDE
353,RETAIL,STITCHIN' POST,311 W CASCADE AVE,INSIDE
364,RETAIL,PILL BOX DRUG dba SISTERS DRU,635 N ARROWLEAF TRAIL,INSIDE
367,RETAIL,SUNDANCE SHOES,141 E CASCADE STE 102,INSIDE
368,RETAIL,SISTERS FEED & SUPPLY,102 E. MAIN AVE.,INSIDE
369,RETAIL,SISTERS GALLERY & FRAME SHOP,252 W. HOOD AVE.,INSIDE
370,RETAIL,SISTERS GLASS & MIRROR,177 W. SISTERS PARK DR.,INSIDE
372,RETAIL,SISTERS HAB. FOR HUM. THRIFT,211 E CASCADE AVE,INSIDE
385,RETAIL,TAYLOR TIRE CENTER,600 W HOOD AVE,INSIDE
401,RETAIL,VILLAGE INTERIORS DESIGN CNTR,111 W BARCLAY DR 1A,INSIDE
413,RETAIL,SISTERS LOG FURNITURE & HOME,121 W CASCADE AVE,INSIDE
419,LODG,SISTERS MOTOR LODGE,511 W CASCADE AVE,INSIDE
422,RETAIL,SISTERS OLIVE & NUT COMPANY,271 W CASCADE AVE,INSIDE
436,RES,SNO CAP ICE CREAM,380 W CASCADE AVE,INSIDE
454,RETAIL,YOUR $12 STORE,121 W CASCADE AVE,INSIDE
499,RETAIL,MACKENZIE CREEK TRADING CO.,290 W CASCADE AVE,INSIDE
549,LODG,"SISTERS HOSPITALITY MGT, LLC",1021 DESPERADO TRAIL,INSIDE
625,RETAIL,ALPACA BY DESIGN,140 W CASCADE AVE,INSIDE
627,RES,THREE CREEEKS BREWING CO.,721 DESPERADO CT,INSIDE
628,RETAIL,SAGE ANTIQUES,161 S ELM,INSIDE
640,RETAIL,HERITAGE U.S.A.,253 E HOOD AVE,INSIDE
682,RES,RANCHO VIEJO,150 E CASCADE AVE,INSIDE
689,RETAIL,BI-MART CORPORATION #680,445 W HWY 20,INSIDE
695,RETAIL,"LIFE LOVE YOGA, LLC",VARIOUS,INSIDE
707,RETAIL,"OFFICE EXPRESS, LLC",160 S OAK ST,INSIDE
717,RES,"SISTERS, MARTOLLIS OF",220 W CASCADE AVE,INSIDE
733,RETAIL,BLAZIN' SADDLES LLC,413 W HOOD AVE A,INSIDE
735,LODG,SISTERS INN & SUITES,605 N. ARROWLEAF TRAIL,INSIDE
748,RETAIL,3 SISTERS FUEL STOP,210 E. CASCADE AVE.,INSIDE
752,RETAIL,SIGNS OF SISTERS,PO BOX 429,OUTSIDE
773,RETAIL,OPEN RANGE,220 W. CASCADE ST,INSIDE
776,RETAIL,BALD EAGLE MUSIC,101 N MAIN AVE B,INSIDE
791,RES,HARDTAILS BAR & GRILL,175 N. LARCH STREET,INSIDE
811,RES,TK HARBICK INC. DBA TAKODA'S,425 HWY 20 W.,INSIDE
813,RETAIL,SISTERS HAB FOR HUM - RESTORE,254 W. ADAMS,INSIDE
829,RES,TACOS EL COMAL,411 W. CASCADE AVE.,INSIDE
840,RES,"LJB, INC. DBA SUBWAY",620 N ARROWLEAF TRAIL,INSIDE
848,RETAIL,JILL NEAL ENTERPRISES LLC,222 S ASH ST 11,INSIDE
851,RETAIL,SISTERS 76,591 E HWY 20,INSIDE
860,RES,THE PORCH,243 N ELM,INSIDE
925,RETAIL,BLUE BURRO IMPORTS,170 W CASCADE AVE,INSIDE
934,RES,JUNES ASIAN KITCHEN,291 E CASCADE AVE,INSIDE
961,RETAIL,THE COLLECTION GALLERY,353 W HOOD AVE,INSIDE
992,RETAIL,"HOOD AVENUE ART, LLC",353 W HOOD AVE,INSIDE
1086,RETAIL,GRIZZLY RIDGE UPCYCLE,123 E HOOD AVE,INSIDE
1091,RES,"SPIRITS, LLC",261 W CASCADE AVE,INSIDE
1092,RETAIL,WANDER + NW AND KIDS,200 W CASCADE,INSIDE
1101,RES,HOP & BREW,523 E HWY 20,INSIDE
1113,LODG,PRICELINE.COM,800 CONNECTICUT AVE,OUTSIDE
1117,RES,"SUTTLE TEA, LLC",450 E CASCADE AVE,INSIDE
1127,LODG,"SCANDIA SISTERS, LLC",1100 E HWY 20,INSIDE
1128,RETAIL,"DIXIE'S, LLC",100 E CASCADE AVE,INSIDE
1130,RETAIL,"STEIGMAN, INC DBA-FAVEUR",150 W CASCADE 100,INSIDE
1131,LODG,"SISTERS BUNKHOUSE, LLC",114 N OAK STREET,INSIDE
1157,RES,SISTERS SALOON & RANCH GRILL,190 E CASCADE AVE,INSIDE
1159,RETAIL,RAVEN MAKES GALLERY,182 E HOOD AVE.,INSIDE
1171,RES,"R SPOT, LLC",101 W MAIN A,INSIDE
1180,RES,BRODY'S MEATS INC.,110 S SPRUCE ST,INSIDE
1214,RES,"GRACIE'S RESTAURANT, LLC",370 E CASCADE AVE,INSIDE
1220,RETAIL,"SISTERS CASCADE, LLC",150 W CASCADE AVE B,INSIDE
1228,RETAIL,SISTERS BAKERY,251 E CASCADE AVE,INSIDE
1229,RETAIL,NATURE'S BLING,183 E HOOD AVE 300,INSIDE
1231,RETAIL,HIKE-N-PEAK,103 E HOOD AVE A,INSIDE
1256,RES,"EG CIMFAR, INC",497 W HWY 20,INSIDE
1289,RES,"SPOONS IN SISTERS, LLC",281 W CASCADE AVE,INSIDE
1297,RES,"BOONE DOG PIZZA, LLC",223 E HOOD AVE,INSIDE
1322,RES,"BOX OF RAIN, LLC",302 E MAIN AVE,INSIDE
1344,RETAIL,GYPSY WIND CLOTHING,183 E HOOD AVE 100,INSIDE
1381,RES,THE GALLERY RESTAURANT & BAR,171 W CASCADE AVE,INSIDE
1386,RETAIL,"HAT CREEK BOOK COMPANY, LLC",252 W HOOD AVE,INSIDE
1404,ENTER,"CASCADE LASER TAG, LLC",465 W HWY 20,INSIDE
1407,RETAIL,AQUA HOT TUBS,413 W HOOD AVE D,INSIDE
1415,RES,"FIKA SISTERS, LLC",201 E SUN RANCH DR,INSIDE
1426,RES,GELATO G SPOT FOODS/CATERING,223 E HOOD AVE,INSIDE
1433,RETAIL,"ANTLER ARTS, INC",311 E CASCADE AVE,INSIDE
1440,LODG,"TROUT CREEK LODGING, LLC",1026 W RAILWAY,INSIDE
1444,RES,"CENTRAL PHILLY, INC",352 E HOOD AVE,INSIDE
